sbatch_run,rule_name,snakemake_jobid,slurm_jobid,submit_time,finish_time,status,mem_mb,runtime_min,cpus,wildcards,actual_duration_min,pct_runtime_used,cpu_efficiency,error_type,error_msg,log_path
run-1,disease_doid_ids,100,74181,2025-12-08 21:11,2025-12-08 21:12,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_disease_doid_ids/74181.log
run-1,disease_orphanet_ids,101,74172,2025-12-08 21:10,2025-12-08 21:11,success,64000,120,4,,0.7,0.5,,,,babel_outputs/logs/rule_disease_orphanet_ids/74172.log
run-1,disease_hp_ids,102,74097,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_disease_hp_ids/74097.log
run-1,disease_mesh_ids,103,74179,2025-12-08 21:11,2025-12-08 21:13,success,64000,120,4,,2.0,1.7,,,,babel_outputs/logs/rule_disease_mesh_ids/74179.log
run-1,get_hgnc_labels_and_synonyms,109,74162,2025-12-08 21:10,2025-12-08 21:11,success,64000,120,4,,0.7,0.5,,,,babel_outputs/logs/rule_get_hgnc_labels_and_synonyms/74162.log
run-1,get_hgnc,110,74126,2025-12-08 21:10,2025-12-08 21:10,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_get_hgnc/74126.log
run-1,get_ncbigene_labels_synonyms_and_taxa,111,74129,2025-12-08 21:10,2025-12-08 21:20,success,64000,120,4,,10.6,8.8,,,,babel_outputs/logs/rule_get_ncbigene_labels_synonyms_and_taxa/74129.log
run-1,get_ncbigene,112,74079,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_get_ncbigene/74079.log
run-1,get_gene_ncbigene_relationships,113,74192,2025-12-08 21:21,2025-12-08 21:26,success,64000,120,4,,5.0,4.2,,,,babel_outputs/logs/rule_get_gene_ncbigene_relationships/74192.log
run-1,gene_ncbi_ids,114,74191,2025-12-08 21:20,2025-12-08 21:21,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_gene_ncbi_ids/74191.log
run-1,get_gene_ncbigene_ensembl_relationships,115,74193,2025-12-08 21:21,2025-12-08 21:24,success,64000,120,4,,2.8,2.4,,,,babel_outputs/logs/rule_get_gene_ncbigene_ensembl_relationships/74193.log
run-1,get_gene_medgen_relationships,116,74118,2025-12-08 21:10,2025-12-08 21:10,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_get_gene_medgen_relationships/74118.log
run-1,get_gene_umls_relationships,117,74210,2025-12-08 21:24,2025-12-08 21:24,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_get_gene_umls_relationships/74210.log
run-1,gene_umls_ids,118,74199,2025-12-08 21:22,2025-12-08 21:24,success,64000,120,4,,1.3,1.1,,,,babel_outputs/logs/rule_gene_umls_ids/74199.log
run-1,get_umls_gene_protein_mappings,119,74087,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_get_umls_gene_protein_mappings/74087.log
